,id,text,sentiment_text
0,220588234945,- thank you!! Could be worse tho... got one that started right before my panel at SOBCon this year.  ((hug)), thank you Could be worse tho. got one that started right before my panel at SOBCon this year. hug
1,220591234948,alot of people are havin problems,alot of people are havin problems
2,220589234946,"add some coffee to that, and we are golden!",add some coffee to that and we are golden
3,220587234944,you are sooo lucky! You get to go to bed with imaginary boyfriends,you are soo lucky You get to go to bed with imaginary boyfriends
4,220586234943,http://twitpic.com/7hs1x - Hmmmmm I might save the voucher as you already got Jared tonight!, Hmm I might save the voucher as you already got Jared tonight
5,220593234950,i wish i could smoke too  stuck @ work...btw looking forward to ur next dvd,i wish i could smoke too stuck work.btw looking forward to ur next dvd
6,220584234941,"It was actually in a hospital, but as warm and welcoming as that could have been",It was actually in a hospital but as warm and welcoming as that could have been
7,220592234949,I need some if you energy then,I need some if you energy then
8,220590234947,sad face because 50 is still far,sad face because is still far
9,220585234942,thanks  hehe jk,thanks he jk
