,id,text,sentiment_text
0,5272267079,There is no excuse for dropping a buggy game update like that. Truly disappointed by this news,There is no excuse for dropping a buggy game update like that. Truly disappointed by this news
1,5271667073,Yes! Vote saxon in this case,Yes Vote saxon in this case
2,5272067077,no missouri dates  please come to st louis!,no missouri dates please come to st louis
3,5271867075,"wahoooo, nice one  big party tonight huh?",wahoo nice one big party tonight huh
4,5272167078,"then I am going the get Entertainment Junkiez ""sewn"" into my face just below my bottom lip  lol!",then I am going the get Entertainment Junkiez sewn into my face just below my bottom lip lol
5,5271467071,"(Ah. I have the feeling I am going to hate Y10.  Then again, I thought I would hate Y9 and I did not. Totally...)",Ah. I have the feeling I am going to hate Y. Then again I thought I would hate Y and I did not. Totally.
6,5271567072,"OOC I enjoy English when it is not essay-writing, which is why I still have to do one course of it",OOC I enjoy English when it is not essaywriting which is why I still have to do one course of it
7,5271767074,"Yes, mine grab hold of my arm, kick me & bite me until they hear me scream in pain then they realise and let go of me a bit.",Yes mine grab hold of my arm kick me bite me until they hear me scream in pain they realise and let go of me a bit.
8,5271967076,hi julio...i definately will.,hi julio.i definately will.
9,5272367080,hey. Sorry i never made it over there last night.,hey. Sorry i never made it over there last night.
