,id,text,sentiment_text
0,1148211979, Ask Trump a legitimate question. Look at Wallace's face when Trump nails it.  #GOPDebate  #GOPDebates, Ask Trump a legitimate question. Look at Wallace face when Trump nails it. 
1,1147811975, #BlackLivesMatter is a cop killing movement. #GOPDebates, is a cop killing movement. 
2,1147611973, After hugged Obama he does not deserve to be on the stage tonight.  #GOPDebates  #GOPDebates, After hugged Obama he does not deserve to be on the stage tonight. 
3,1147911976, Hey ! How absolutely fearful are you of ? I am LOL at how you refuse to ask him questions!#GOPDebat..., Hey How absolutely fearful are you of I am LOL at how you refuse to ask him questions.
4,1147511972, Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates, Is it just me or does anyone else want to punch Chris Wallace in the face 
5,1148011977,"c'mon, megyn, let us get to the issues: jade helm, fluoride, ""trayvon riots,"" fema camps, freemasonry, the trilateral commission #GOPDebates",cmon megyn let us get to the issues jade helm fluoride trayvon riots fema camps freemasonry the trilateral commission 
6,1148311980, Why should pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates, Why should pledge support to the GOP when the establishment sold out to Obama 
7,1147411971, Huckabee. #GOPDebates http://t.co/Zy12bdUkx9, Huckabee. 
8,1147711974,I appreciate the promo for Straight Outta Compton following the commercial break in the #GOPDebates following the first race question,I appreciate the promo for Straight Outta Compton following the commercial break in the following the first race question
9,1148111978," Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates", Trump has got it right nobody would talk about immigration not untill be brought it up. 
