,id,text,sentiment_text
0,3469549052,cannot get that in New Delhi. All the cool tech is in Bangalore,cannot get that in New Delhi. All the cool tech is in Bangalore
1,3470049057,I am told you are hilarious.  I will let the spelling slide as long as you deliver on humor.  Pressure's on!,I am told you are hilarious. I will let the spelling slide as long as you deliver on humor. Pressure on
2,3469849055,Just a drive and a wedge then,Just a drive and a wedge then
3,3469449051,was not it sad,was not it sad
4,3469949056,ummm you did forget about me. do not twitter me or text me or call me  ... Unlesss.........,umm you did forget about me. do not twitter me or text me or call me . Unless.
5,3470249059,Aw man that sounds so good!  I went to Newquay last year and I so want to do it again  Maybe just a long weekend this year,Aw man that sounds so good I went to Newquay last year and I so want to do it again Maybe just a long weekend this year
6,3470349060,"Thought I would let you know I found The Performer JD story in 2000AD highly amusing, fyi.  Great stuff!  Now onto zombo!",Thought I would let you know I found The Performer JD story in AD highly amusing fyi. Great stuff Now onto zombo
7,3469649053,Why?!?!?! You went through all that trouble to dye it.,Why You went through all that trouble to dye it.
8,3470149058,so ull always be employed!!,so ull always be employed
9,3469749054,=D Thanx!!! BTW Thanx again for the Allison Appreciation Card... I told you I would not get anything from the meeting...,D Thanx BTW Thanx again for the Allison Appreciation Card. I told you I would not get anything from the meeting.
