,id,text,sentiment_text
0,5109865455,I did not make it to the Leos,I did not make it to the Leos
1,5109765454,"nice wedding ring, shiny!",nice wedding ring shiny
2,5110065457,I am not silly. Ur silly!!!!! Whwere have you been,I am not silly. Ur silly Whwere have you been
3,5109665453, yo yo yo i need a printer lol, yo i need a printer lol
4,5110165458,"no, not auction offerings.",no not auction offerings.
5,5109965456,"you go, my girl! that is the foremost reason why i love you  re: me being me",you go my girl that is the foremost reason why i love you re me being me
6,5110265459,will do!! lol. i LOVE funfetti too!! the sprinkles are my favorite sprinkles EVER!!!,will do lol. i LOVE funfetti too the sprinkles are my favorite sprinkles EVER
7,5109465451,jordsta I talk to you everyday anyway,jordsta I talk to you everyday anyway
8,5110365460,yes!! i'm so glad someone remembers it,yes im so glad someone rembers it
9,5109565452,Hmm just caught up with your bar! Not sure candle in middle of liquor is wise decision,Hmm just caught up with your bar Not sure candle in middle of liquor is wise decision
