,id,text,sentiment_text
0,2475139108,nopes. but i know that did that yesterday!,nopes. but i know that did that yesterday
1,2474439101,Minnie is a true Diva-In-Training.  Just waiting for her tiara to come in the mail.,Minnie is a true DivaInTraing. Just waiting for her tiara to come in the mail.
2,2475239109,4 life.  i miss the mamiya 7 from emerson,4 life. i miss the mamiya from emerson
3,2474939106,"So  I mean,  is here?!  Congrats!!! (LOVE the name, too BTW)",So I mean is here Congrats LOVE the name too BTW
4,2474839105,I always feel guilty about it,I always feel guilty about it
5,2474539102,yeah just waiting for it to kick in,yeah just waiting for it to kick in
6,2475039107,"that Y I like Twitter, you can follow or not....",that Y I like Twitter you can follow or not.
7,2474739104,do not remember much of it now  another movie to add to the list!,do not rember much of it now another movie to add to the list
8,2475339110, thank you!, thank you
9,2474639103,No wonder I did not get into Urbana,No wonder I did not get into Urbana
