,id,text,sentiment_text
0,222990237347,Worship and Fellowship!,Worship and Fellowship
1,222989237346,SO excited that you are cutting such old songs!! Can NOT wait for this album!!! (I am so greedy...you JUST released an album. lol!),SO excited that you are cutting such old songs Can NOT wait for this album I am so greedy.you JUST released an album. lol
2,222987237344,it is pouring rain here in philly  staying in and watching a movie.,it is pouring rain here in philly staying in and watching a movie.
3,222993237350,I did not see you at midweek tonight!  It was so weird.    Good luck on your exam tomorrow!,I did not see you at midweek tonight It was so weird. Good luck on your exam tomorrow
4,222988237345,"Men! Easily entertained. Being a wife, not glamorous, but pretty satisfying.",Men Easily entertained. Being a wife not glamorous but pretty satisfying.
5,222992237349,"i had that yesterday.... wah, i have gastric pain again...",i had that yesterday. wah i have gastric pain again.
6,222986237343,http://twitpic.com/6fzg7 - Truly breathtakingly beautiful!, Truly breathtakingly beautiful
7,222984237341,have fun in the studio. sing your heart out,have fun in the studio. sing your heart out
8,222985237342,Hey Jewel- so do you think you are going to be touring the east coast in the fall?? Please?!?! (Specifically CT or NJ?),Hey Jewel so do you think you are going to be touring the east coast in the fall Please Specifically CT or NJ
9,222991237348,got to hate the chin dribbles.,got to hate the chin dribbles.
