,id,text,sentiment_text
0,248198262555,"I knowww! ""YAY"" for ussss",I knoww YAY for uss
1,248201262558,"haha, i thought we were both 15. hahaha.",ha i thought were both ha.
2,248203262560,because i am sick and my period is here!!!! shit timing. AND CLAUDIE WHY DO YOU FEEL UNAPPRECIATED  i love you pal!!!,because i am sick and my period is here shit timing. AND CLAUDIE WHY DO YOU FEEL UNAPPRECIATED i love you pal
3,248202262559,thanks  i did it yesterday,thanks i did it yesterday
4,248199262556,"its true, its true... Your BADNESS had irresistible appeal hahahahahaha",its true its true. Your BADNESS had irresistible appeal ha
5,248194262551,awww tha sucks  how long you away for? can you get to the docs there?,aww tha sucks how long you away for can you get to the docs there
6,248200262557,what kan I say... I guess I got a BIG EGO,what kan I say. I guess I got a BIG EGO
7,248195262552,lol oh yes!!  love your last name  sooooo cool,lol oh yes love your last name soo cool
8,248197262554,girl nothing i need something to do !!  womp.,girl nothing i need something to do womp.
9,248196262553,ya she was just using him to get some fame,ya she was just using him to get some fame
