,id,text,sentiment_text
0,185990200347,you know how we do son...,you know how we do son.
1,185989200346,"nice, that RSX was my high school car. i kind of miss her too",nice that RSX was my high school car. i kind of miss her too
2,185987200344,I miss you so much,I miss you so much
3,185986200343,,
4,185992200349,Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeteradder.com Once you add everyone you are on the train or pay vip
5,185991200348,aiight. Maybe will not flake out this time cuz you going   no love,aiight. Maybe will not flake out this time cuz you going no love
6,185985200342, I would even say we have been raped by poker project, I would even say we have been raped by poker project
7,185988200345,"mine hit 300 once then dropped down to like, 30 haha  but now its 220",mine hit once then dropped down to like ha but now its 
8,185984200341,like you are going to get in a fight at dash... Lmfaooo!  2 for 2! So who we going after today?,like you are going to get in a fight at dash. Lmfaoo for So who we going after today
9,185993200350,thank you sooo much for being my body guard!,thank you soo much for being my body guard
