,id,text,sentiment_text
0,242591256948,"nothing new at all. lol. oh, i bitched alot today about one person in particular with rachel. Oh and I planned the ultimate event",nothing new at all. lol. oh i bitched alot today about one person in particular with rachel. Oh and I planned the ultimate event
1,242585256942,"gaat wel, thanks",gaat wel thanks
2,242592256949,... then talking to my besto Aimee on msn  haha,. then talking to my besto Aimee on msn ha
3,242593256950,"I do not have a Twitter app on my phone so I do not see the responses until I get home!    Haha, damn sowie...",I do not have a Twitter app on my phone so I do not see the responses until I get home Haha damn sowie.
4,242588256945,i did but we only bought things to have a BBQ last night,i did but we only bought things to have a BBQ last night
5,242586256943,fighting for you,fighting for you
6,242589256946,"made me choke on a cookie, damn what a waste of a cookie...",made me choke on a cookie damn what a waste of a cookie.
7,242584256941,no  I just do not know what flash dance is,no I just do not know what flash dance is
8,242587256944,"and neopets is just fustrating me, cannot get past level 10",and neopets is just fustrating me cannot get past level 
9,242590256947,well i was a douche and did not make a trip to the family pharmacy yesterday. IDIOTT,well i was a douche and did not make a trip to the family pharmacy yesterday. IDIOTT
