,id,text,sentiment_text
0,144115158472,awwww man i could not possibly!! friday and last night are enough to put a girl off for life!! haha my feet hurt,aww man i could not possibly friday and last night are enough to put a girl off for life ha my feet hurt
1,144118158475,i will check it out.,i will check it out.
2,144117158474,I LOVED the show! And all of them are so adorable. I told Beth after that I was sad my 1st time seeing the show was her last.,I LOVED the show And all of them are so adorable. I told Beth after that I was sad my 1st time seeing the show was her last.
3,144123158480,"The harder the better, I always say.",The harder the better I always say.
4,144121158478, miley does her big annoucement at 7am tomorrow but really 12am  tonight here cannot wait ill tell you wat it is, miley does her big annoucement at 7am tomorrow but really am tonight here cannot wait ill tell you wat is
5,144116158473," in reply to your text earlier, I do not mind either  just ring me or something when you get back from theatre train", in reply to your text earlier I do not mind either just ring me or something when you get back from theatre train
6,144120158477,"ugh thanks. what if my part is not done. i do not feel well, and really need sleep.",ugh thanks. what if my part is not done. i do not feel well and really need sleep.
7,144119158476,we are starting a new DnD 3.5 campaign.,we are starting a new DnD campaign.
8,144122158479,"I could go for that...of course, now that the world has seen the idea on Twitter, we might have to call it a 'mental health' day",I could go for that.of course now that the world has seen the idea on Twitter we might have to call it a mental health day
9,144114158471,you forgot to add I am also confined to a very small part of this small ass base  cannot find any trouble LOL,you forgot to add I am also confined to a very small part of this small ass base cannot find any trouble LOL
