,id,text,sentiment_text
0,159311173668,sometimes they got to learn the hard way,sometimes they got to learn the hard way
1,159309173666,yeah yeah offer it now I am halfway home,yeah offer it now I am halfway home
2,159306173663,"Surely meeting me, a fellow twitter fan, randomly on your #abdntweetup was not that bad! ;-) .... I hope you feel better soon",Surely meeting me a fellow twitter fan randomly on your was not that bad . I hope you feel better soon
3,159307173664,That beats the talks/presentations I had to give at uni,That beats the talkspresentations I had to give at uni
4,159312173669,that is a terrible and sad story....,that is a terrible and sad story.
5,159313173670, that is great! it is good to meet other artistic business folks  let me know which mixers you plan to attend, that is great is good to meet other artistic business folks let me know which mixers you plan to attend
6,159304173661,i know girl that is my song!  how've you been? it is been forever!!!!,i know girl that is my song howve you been it is been forever
7,159305173662,I will be hitting 48 hrs no sleep in about 2 hrs.... Your sleeping habits cannot be any worse than mine,I will be hitting hrs no sleep in about hrs. Your sleeping habits cannot be any worse than mine
8,159308173665,yeah cheers  I desrve one for being so lovely,yeah cheers I desrve one for being so lovely
9,159310173667,So awesome to have you on 12seconds. I am one of the founders. Huge fan of SVU! Enjoy the site,So awesome to have you on seconds. I am one of the founders. Huge fan of SVU Enjoy the site
