,id,text,sentiment_text
0,180016194373,I never bought GH:SH. It was  game.,I never bought GHSH. It was game.
1,180017194374,I sure am.. because I am green and misunderstood!!,I sure am. because I am green and misunderstood
2,180022194379,"lol yeah do not rub it in, i only got 208",lol yeah do not rub it in i only got 
3,180018194375,Good luck with that my friend. I know its not an easy thing to do,Good luck with that my friend. I know its not an easy thing to do
4,180021194378,lol do not forget im hidin in ur suitcase for ur trips,lol do not forget im hidin ur suitcase for ur trips
5,180020194377,"Hey, was driving in to work, sorry I missed your tweet. it is currently 12:24 in the afternoon here in the UK",Hey was driving in to work sorry I missed your tweet. it is currently in the afternoon here in the UK
6,180023194380,nothing just laying on my bed cuz i went ice skating and i fell on my butt hard   lol,nothing just laying on my bed cuz i went ice skating and i fell on my butt hard lol
7,180015194372,it is wonderful is not it.  It was a bit of cheerfulness in the midst of all this revision.,it is wonderful is not it. It was a bit of cheerfulness in the midst of all this revision.
8,180014194371,How rubbish.,How rubbish.
9,180019194376,aw miss you too..thanks for having us overrr!,aw miss you too.thanks for having us overr
