,id,text,sentiment_text
0,5798972346,"Hey, that is OK. I have to go to work now and there is knitting club tonight, not much chance to play with my tweetbuds",Hey that is OK. I have to go to work now and there is knitting club tonight not much chance to play with my tweetbuds
1,5799172348,I know  Dh is going away a week tomorrow too.,I know Dh is going away a week tomorrow too.
2,5798472341,also good to hear that Pupa is home and well,also good to hear that Pupa is home and well
3,5798572342,Pad Thai is my favourite,Pad Thai is my favourite
4,5799372350,"Booo, get a new bank. Chase sucks  We just changed all of our stuff when we were back in June.",Boo get a new bank. Chase sucks We just changed all of our stuff when were back in June.
5,5798872345,-- Pity about the dog but I guess somethings are not meant to be, Pity about the dog but I guess somethings are not meant to be
6,5798672343,they will make me sleep and i have big piles of work to do,they will make me sleep and i have big piles of work to do
7,5799272349,I am okish. I think it is possibly baby blues combined with uncontrolled pain. cannot take my meds anymore as I am breastfeeding,I am okish. I think it is possibly baby blues combined with uncontrolled pain. cannot take my meds anymore as I am breastfeeding
8,5799072347,i hope it clears up for you soon hun  heyfever sucks x x,i hope it clears up for you soon hun heyfever sucks x
9,5798772344,"Oh no, how bloody awful for you, did that 4 yrs ago with our 18yr old dog  Hugs for you x",Oh no how bloody awful for you did that yrs ago with our yr old dog Hugs for you x
