,id,text,sentiment_text
0,568606066155634688325383,FA attendant on 4553 PHL to PWM tonight was fab!  An asset to your team.  From 1F. Have a great night team!,FA attendant on PHL to PWM tonight was fab An asset to your team. From 1F. Have a great night team
1,568601527591440386325390,I submitted refund request b4 1st flight 2 days ago. Is that all I need 2 do?,I submitted refund request b4 1st flight days ago. Is that all I need do
2,568605001666449408325386,"Thank you,   Your fare to from DTW to DCA was much lower than and   Thank you! You won me over!",Thank you Your fare to from DTW to DCA was much lower than and Thank you You won me over
3,568606238428270594325382,"ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",ruined our honeymoon by causing us to miss our international flight and now we are stranded.
4,568602309703249921325388,"I already HAVE, four times",I already HAVE four times
5,568602156988657664325389,"42 minutes holding. Seriously, if your average wait time is over 30 minutes then maybe, just maybe, you are understaffed.", minutes holding. Seriously if your average wait time is over minutes then maybe just maybe you are understaffed.
6,568605590735294464325384,thanks for overFlight Booking Problems first class and automatically downgrading my upgrade 3 min before boarding. #ffstatusdontmatter #thenewaa,thanks for overFlight Booking Problems first class and automatically downgrading my upgrade min before boarding. 
7,568605539866976256325385,we are having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,we are having grandbabies in weeks will travel to DC for the births. Thank you for the reasonable fares See you Saturday
8,568604735772741632325387,flight 728 from PHL to London has been sitting on the tarmac for 46min w/NO further update from the pilot. what gives???,flight from PHL to London has been sitting on the tarmac for min wNO further update from the pilot. what gives
9,568606704566439936325381,"but it is not their fault, because their policy says they at least got us to our destination. Really?",but is not their fault because their policy says they at least got us to our destination. Really
