,id,text,sentiment_text
0,106753121110,UH OH. Your background is cool! Does Dave Gahan Twitter? Hahah you would love that,UH OH. Your background is cool Does Dave Gahan Twitter Hah you would love that
1,106745121102,rocks my cycling world.  Wore my free Betty socks to the gym today.  I know everyone was jealous.,rocks my cycling world. Wore my free Betty socks to the gym today. I know everyone was jealous.
2,106744121101,I did't finish the paper too! D; It was an atrocious physics paper.  The exams are over but it did not end in a good way.,I didt finish the paper too D It was an atrocious physics paper. The exams are over but it did not end in a good way.
3,106747121104,I want to go to there.,I want to go there.
4,106748121105,me vooi  ire donde mi tia A!A!,me vooi ire donde mi tia AA
5,106751121108,"OH, I totally get it now!..... that is too funny",OH I totally get it now. that is too funny
6,106749121106,loving the site guys. It takes an American Skateboarder for me to find it! Makes me miss london that little bit less,loving the site guys. It takes an American Skateboarder for me to find it Makes me miss london that little bit less
7,106746121103,my running is going terrible - knee still playing up....do not think I can do the 1/2 marathon next month,my running is going terrible knee still playing up.do not think I can do the marathon next month
8,106752121109,been there!,been there
9,106750121107,sry but i do not have one.... neways you can ask me wateva you lyk....,sry but i do not have one. neways you can ask me wateva you lyk.
