,id,text,sentiment_text
0,7900993366, A captivating property for sure ~ all the best, A captivating property for sure all the best
1,7901293369,hey.  you have to hack it LOL. you know me  if you know any body that want there done hit me up,hey. you have to hack it LOL. you know me if you know any body that want there done hit me up
2,7900793364,wish i could be listening to hot 97,wish i could be listening to hot 
3,7900893365,d'oh,doh
4,7900593362,"that is funny, some people say I do not reply",that is funny some people say I do not reply
5,7900693363,"then you, vanessa, and chelsea stole elsbe for a while? so i hung around with... um... i forgot his name",then you vanessa and chelsea stole elsbe for a while so i hung around with. um. i forgot his name
6,7901393370,lol haha i would never do that then where am i going to get my gossip from,lol ha i would never do that then where am i going to get my gossip from
7,7901093367,(taking a cinna stick n dippin it),taking a cinna stick n dippin it
8,7900493361,Welcome back! Hope you are well and the cruise was great,Welcome back Hope you are well and the cruise was great
9,7901193368,good mornin!!!! What are you up 2? im getting off work in 2 hours,good mornin What are you up im getting off work in hours
