,id,text,sentiment_text
0,569852084536750080327840," so far all I am getting is ""maybe your bag will come today. We do not know."" Website says ""status unknown""- can you help?", so far all I am getting is maybe your bag will come today. We do not know. Website says status unknown can you help
1,569852965315584000327836,haha I did. They said it was not their fault somehow? You guys are a joke,ha I did. They said it was not their fault somehow You guys are a joke
2,569853327359516672327835,I would purchase it if I was there by choice but you guys Cancelled Flightled my flight and have me stuck at DFW for 7 hours!,I would purchase it if I was there by choice but you guys Cancelled Flightled my flight and have me stuck at DFW for hours
3,569852657327738880327837,"Stuck in Miami, and one of the worst customer experiences I have ever had. Will be sure to let everyone know about my time w/AA",Stuck in Miami and one of the worst customer experiences I have ever had. Will be sure to let everyone know about my time wAA
4,569854492126146560327831,Not very helpful if my flight is already Cancelled Flightled! What about reFlight Booking Problems? AA has my email and cell - yet no notifications.,Not very helpful if my flight is already Cancelled Flightled What about reFlight Booking Problems AA has my email and cell yet notifications.
5,569853969469734912327833,now you change my gate and do not tell me? What the fuck is wrong with you people. Learn to do your fucken job,now you change my gate and do not tell me What the fuck is wrong with you people. Learn to do your fucken job
6,569852250488573952327838,2days 2plains 2fails,2days 2plains 2fails
7,569853568200503296327834,Trying to make an online Flight Booking Problems one way from Barbados -NYC but will not let me as says I need a Barbados CC...why??!,Trying to make an online Flight Booking Problems one way from Barbados NYC but will not let me as says I need a Barbados CC.why
8,569852112605089792327839,it took them 6 hours to call me back. Then it disconnected twice.  I will never get back to work,it took them hours to call me back. Then it disconnected twice. I will never get back to work
9,569854151531859968327832,", I leave Jaipur tomorrow , back to Dehli , Only in Delhi  one night .  we need to  use our abilities to make magic .", I leave Jaipur tomorrow back to Dehli Only in Delhi one night . we need to use our abilities to make magic .
